,Question,Actual,Prediction,TP,TN,FP,FN
1544,make donald trump greatest president history,Sincere,Insincere,0,0,1,0
125,different form electricity used,Sincere,Sincere,0,1,0,0
376,area bounded curve x line x axis point intersection point rotated x axis formula volume,Sincere,Sincere,0,1,0,0
1141,kotlin language similar java,Sincere,Sincere,0,1,0,0
2734,u president hillary clinton laughed puerto rico said came saw died,Insincere,Insincere,1,0,0,0
792,thinking different others,Sincere,Sincere,0,1,0,0
1909,remainder divided,Sincere,Insincere,0,0,1,0
502,feel like replaced,Sincere,Insincere,0,0,1,0
1062,get touch girl seen year,Sincere,Insincere,0,0,1,0
2450,fuck kid spend time jail,Insincere,Insincere,1,0,0,0
2965,liberal cry baby,Insincere,Insincere,1,0,0,0
2541,beautiful middle east iranian levantine arab,Insincere,Insincere,1,0,0,0
495,case human specie selection pressure weaker today,Sincere,Insincere,0,0,1,0
730,possible make movie song offend people coerce political change,Sincere,Sincere,0,1,0,0
1833,determinant matrix basically listing permutation coefficient conserving order term system,Sincere,Sincere,0,1,0,0
3179,rapist europe muslim,Insincere,Insincere,1,0,0,0
1867,bit compare nit trichy b tech mech,Sincere,Sincere,0,1,0,0
308,could thing gift guy husband meeting arranged parent first meeting talking since month,Sincere,Sincere,0,1,0,0
535,initiation ritual latin king gang,Sincere,Insincere,0,0,1,0
1349,people really bad teeth bad taking care teeth,Sincere,Insincere,0,0,1,0
1925,kagome kiyoko reincarnation different people,Sincere,Sincere,0,1,0,0
2962,india still considered secular prime minister fanatic hindu report hindu extremist party r,Insincere,Insincere,1,0,0,0
2453,true amit shah ordered kill anyone writes negative case judge loya,Insincere,Insincere,1,0,0,0
3836,jew average spatial iq,Insincere,Insincere,1,0,0,0
2175,liberal realize region stricter gun control often higher level gun violence google,Insincere,Insincere,1,0,0,0
2302,evangelical christian like pedophile pedophile member republican party,Insincere,Insincere,1,0,0,0
3207,beat homeless people fun psychopath,Insincere,Insincere,1,0,0,0
244,see stored icloud,Sincere,Insincere,0,0,1,0
1912,india save pakistan china,Sincere,Insincere,0,0,1,0
2969,italian italy hate black american italian refer derogatory term italian see black american le american get angry hear black american speaking english,Insincere,Insincere,1,0,0,0
3991,many indian girl lose virginity marriage,Insincere,Insincere,1,0,0,0
2386,chinese hate american built entire country city,Insincere,Insincere,1,0,0,0
1970,best place value money kolkata buying ceramic pot,Sincere,Sincere,0,1,0,0
529,following polymer contain glucose unit,Sincere,Sincere,0,1,0,0
2905,ctmu critic imbecile crackpot know nothing,Insincere,Insincere,1,0,0,0
1359,much custom come import pair shoe detroit costed total,Sincere,Sincere,0,1,0,0
3700,french people resentful towards brit vice versa,Insincere,Insincere,1,0,0,0
2821,america punish southern conservative opposition proper education scientific advancement,Insincere,Insincere,1,0,0,0
750,kind clothes like guy,Sincere,Insincere,0,0,1,0
625,stop arrow key scrolling,Sincere,Sincere,0,1,0,0
