,Question,Target
1544,make donald trump greatest president history,Insincere
125,different form electricity used,Sincere
376,area bounded curve x line x axis point intersection point rotated x axis formula volume,Sincere
1141,kotlin language similar java,Sincere
2734,u president hillary clinton laughed puerto rico said came saw died,Insincere
792,thinking different others,Sincere
1909,remainder divided,Insincere
502,feel like replaced,Insincere
1062,get touch girl seen year,Sincere
2450,fuck kid spend time jail,Insincere
2965,liberal cry baby,Insincere
2541,beautiful middle east iranian levantine arab,Insincere
495,case human specie selection pressure weaker today,Insincere
730,possible make movie song offend people coerce political change,Sincere
1833,determinant matrix basically listing permutation coefficient conserving order term system,Sincere
3179,rapist europe muslim,Insincere
1867,bit compare nit trichy b tech mech,Sincere
308,could thing gift guy husband meeting arranged parent first meeting talking since month,Sincere
535,initiation ritual latin king gang,Insincere
1349,people really bad teeth bad taking care teeth,Insincere
1925,kagome kiyoko reincarnation different people,Sincere
2962,india still considered secular prime minister fanatic hindu report hindu extremist party r,Insincere
2453,true amit shah ordered kill anyone writes negative case judge loya,Insincere
3836,jew average spatial iq,Insincere
2175,liberal realize region stricter gun control often higher level gun violence google,Insincere
2302,evangelical christian like pedophile pedophile member republican party,Insincere
3207,beat homeless people fun psychopath,Insincere
244,see stored icloud,Insincere
1912,india save pakistan china,Insincere
2969,italian italy hate black american italian refer derogatory term italian see black american le american get angry hear black american speaking english,Insincere
3991,many indian girl lose virginity marriage,Insincere
2386,chinese hate american built entire country city,Insincere
1970,best place value money kolkata buying ceramic pot,Sincere
529,following polymer contain glucose unit,Sincere
2905,ctmu critic imbecile crackpot know nothing,Insincere
1359,much custom come import pair shoe detroit costed total,Insincere
3700,french people resentful towards brit vice versa,Insincere
2821,america punish southern conservative opposition proper education scientific advancement,Insincere
750,kind clothes like guy,Sincere
625,stop arrow key scrolling,Insincere
2997,love turn people idiot please give love like love love perfect b know sugar coating love try hide,Insincere
3886,asian people travel world like foreigner,Insincere
3287,western technology democracy work shaitan,Insincere
1807,child ever told something scared,Insincere
3030,grab aunty boob p,Insincere
1603,ever wrongfully accused rape sexual harassment,Insincere
3798,many black america,Insincere
1286,outside right finding peace star,Insincere
1618,big deal tech giant run problem live demo,Sincere
1934,perlite exist eutectoid composition c even hypoeutectoid range,Sincere
1401,mean baby fast heartbeat,Sincere
1309,mark required get ramk arround electrical branch,Sincere
1505,businessman select financial intermediary prior business transaction,Sincere
268,manufacturing process airwalk snowboard,Sincere
817,much money need live exchange student bergen norway,Sincere
2608,indian see today fake hindu ex muslim ancestry hence explaining modern indian phenomenal,Insincere
2591,new zealand combat unit think work russian america took,Insincere
2232,boy use girl sex,Insincere
1887,meet cold,Sincere
3835,people constantly trying break street date video game seem incredibly selfish childish,Insincere
2231,chamarendar gay,Insincere
